"valence","year","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","Rock","Pop","Rap/Hip hop","Eletronic/Dance","Latin","Indie","Classical","Country","Metal","Blues","Other","Soul","Jazz","Punk"
0.6205679012345682,0.9542960468886403,0.27230012345679006,0.7457469135802465,0.04242752823662042,0.7076203703703705,0.003928533302469136,0.18080277777777773,0.8554705829468965,0.11760401234567901,0.5085637764260282,0.015432098765432098,0,0.7376543209876543,0,1,0,0,0,0,0,0,0,0.015432098765432098,0
0.5719144254278729,0.9063495591612971,0.15020233251833748,0.7084425427872859,0.04093562900344015,0.6822616136919308,0.010726427041564783,0.18004572127139362,0.8491062517673087,0.122616381418093,0.48164476939322337,0.034229828850855744,0.9926650366748166,1,1,0.07090464547677261,0.0024449877750611247,0,0,0,0,0,0.07579462102689487,0,0.0024449877750611247
0.45106375838926177,0.9267168327571,0.34618980134228194,0.5716442953020135,0.04214296932426839,0.5642154362416109,0.12308294865771818,0.1642543624161074,0.8126766862212468,0.06106644295302014,0.48002864628314523,0.5503355704697986,0,0.006711409395973154,0.10738255033557047,0.013422818791946308,1,0,0.006711409395973154,0,0.06040268456375839,0,0.174496644295302,0,0.087248322147651
0.5735163865546219,0.7496816908581605,0.39941168067226884,0.638386554621849,0.04260508024792344,0.5343294117647058,0.024401873445378145,0.16748739495798323,0.8037554885708098,0.06212857142857141,0.48188494434598245,0.10504201680672269,0.5126050420168067,0,0.004201680672268907,0,0.07563025210084033,0,0,0,0.15966386554621848,0,1,0.16806722689075632,0
0.3246148148148149,0.9610389610389676,0.6851996419753089,0.5659717813051143,0.03828328638395536,0.37146984126984134,0.04688082282186951,0.14745343915343911,0.7833453134630282,0.06993209876543219,0.46242837674979953,0,1,0,0.003527336860670194,0,0.32098765432098764,0.010582010582010581,0.01763668430335097,0,0.001763668430335097,0,0.005291005291005291,0.03350970017636684,0.001763668430335097
0.45511312292358874,0.9580438940904139,0.20858461619601326,0.7215149501661132,0.035871264137327726,0.6057994186046513,0.01662408147009967,0.19365872093023243,0.8276297706259845,0.19732682724252482,0.5033034380900898,0.0049833887043189366,0,1,0,0,0.0024916943521594683,0,0.0049833887043189366,0.0049833887043189366,0,0,0.005813953488372093,0.0033222591362126247,0
0.44109561855670115,0.8194574612100385,0.04397621141752575,0.47968041237113396,0.04589254082655207,0.8323221649484529,0.03214873360824743,0.2080360824742268,0.8576129310365702,0.07050670103092782,0.5172922165407804,0.6443298969072165,0.015463917525773196,0.30927835051546393,0.005154639175257732,0.002577319587628866,0.005154639175257732,0,0.01804123711340206,1,0.03865979381443299,0,0,0,0.02577319587628866
0.11521204761904766,0.9429052429052419,0.57611720947619,0.2577000000000002,0.035152976593594454,0.3314852395238093,0.7435819363333331,0.2881114285714285,0.5975064785917497,0.06913476190476192,0.35980283738787594,0,0,0,0.009523809523809525,0,0,0.07142857142857142,0,0,0,0.9142857142857143,0,0.004761904761904762,0
0.6171846153846156,0.8907254361799792,0.3004467832167832,0.6675034965034964,0.041714051276621006,0.6621923076923077,0.00038284499999999993,0.1720444055944056,0.8449909733207834,0.08059860139860134,0.5297685903890246,0,1,0.458041958041958,0,1,0,0,0,0,0,0,0,0,0
0.5291989810771468,0.8099628012291811,0.23816492567685557,0.5612227074235796,0.041581336119382646,0.6633746724890832,0.014445871208151382,0.1799129548762737,0.8275074179275121,0.047101164483260544,0.5032022996759464,1,1,0.001455604075691412,0,0.1222707423580786,0,0,0.11499272197962154,0.055312954876273655,0.01455604075691412,0,0.017467248908296942,0.001455604075691412,0.09606986899563319
0.5188235042735043,0.9539627039627115,0.1474924894230769,0.6266559829059822,0.03821909170154536,0.6927895299145298,0.011368192264957265,0.18249412393162417,0.8500044839838109,0.0828005341880341,0.5094574099012364,0,1,0,0,0,0.03418803418803419,0,0.06517094017094018,0.018162393162393164,0,0,0,0.007478632478632479,0.06623931623931624
0.5916888613861387,0.9167541754175497,0.31474386299504964,0.6499459158415841,0.036637623979162474,0.5894439356435646,0.016924739257425738,0.1793131188118811,0.8260061665081249,0.10885222772277235,0.5100587711569637,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4662683823529409,0.9661319073083839,0.19186451785714267,0.725421218487395,0.038012531744435675,0.6191112394957985,0.00562504600840336,0.18419621848739517,0.837294398614508,0.17372258403361343,0.5095626640312279,0.0063025210084033615,1,1,0,0,0.025210084033613446,0,0.014705882352941176,0.004201680672268907,0,0,0.028361344537815126,0,0.004201680672268907
0.5772766029246342,0.69808319414619,0.24925727956130453,0.5556434195725538,0.04395438431025791,0.6360030371203595,0.03166699598425194,0.1722510686164229,0.8066638956952089,0.05002215973003363,0.5024457412645639,1,0,0.0044994375703037125,0.0562429696287964,0.0562429696287964,0,0,0.24746906636670415,0,0.08886389201349831,0,0.007874015748031496,0.0022497187851518562,0.06186726659167604
0.5067138996138996,0.9277329277329264,0.23023503254826252,0.5797142857142856,0.040274687744712136,0.6369768339768338,0.06371472972972972,0.1758976833976835,0.8254917557243131,0.05820772200772203,0.505161094129789,1,1,0.007722007722007722,0.10038610038610038,0.023166023166023165,1,0,0.023166023166023165,0.003861003861003861,0.015444015444015444,0,0.03861003861003861,0,0.07335907335907337
0.5370890410958905,0.8810709838107088,0.33693569520547956,0.5762500000000005,0.038149238610413604,0.6044743150684933,0.005245082739726026,0.17189589041095898,0.8211200354398822,0.05380753424657538,0.48977617925641503,0,0.0136986301369863,0.003424657534246575,0,0,0.03424657534246575,0.017123287671232876,0.8047945205479452,0,0.023972602739726026,0,0,0.1506849315068493,0.02054794520547945
0.5260275517487505,0.9064521013129248,0.18904486659528905,0.6435317630264098,0.039919362447336126,0.6729885795860107,0.021989431491791583,0.16793411848679518,0.8414974348277808,0.06870663811563175,0.4918723094775686,0.15774446823697358,0.953604568165596,0,1,0.028551034975017844,0.05281941470378301,0,0.009992862241256246,0.0021413276231263384,0.0007137758743754461,0,0.014989293361884369,0,0.010706638115631691
